product_id,name,category,price,is_perishable,box_size_used,actual_size_needed,stock_level,reorder_point,seller_id,is_authentic
P0091,incentivize world-class infrastructures,Electronics,819.35,False,L,S,494,89,S032,True
P0092,facilitate cross-media bandwidth,Beauty,347.86,False,M,L,297,93,S037,True
P0093,matrix extensible eyeballs,Fashion,929.58,False,M,M,343,52,S007,True
P0094,streamline plug-and-play users,Grocery,3512.36,False,M,M,175,99,S048,True
P0095,benchmark bleeding-edge bandwidth,Beauty,139.24,False,XL,L,488,25,S023,True
P0096,aggregate transparent synergies,Electronics,1839.98,False,M,S,390,50,S038,True
P0097,visualize one-to-one experiences,Electronics,759.95,False,L,XL,10,85,S032,True
P0098,cultivate dynamic infrastructures,Fashion,331.39,False,M,M,200,37,S040,True
P0099,benchmark vertical infrastructures,Electronics,2577.92,False,XL,S,432,47,S042,True
P0100,aggregate global info-mediaries,Grocery,627.32,False,M,M,413,87,S018,True
P0101,deploy turn-key content,Fashion,421.4,True,L,L,296,84,S001,True
P0102,extend robust users,Electronics,259.22,True,XL,M,2,99,S010,True
P0103,orchestrate ubiquitous systems,Beauty,323.25,False,L,L,213,64,S034,True
P0104,unleash transparent content,Electronics,1530.09,False,M,S,295,77,S016,True
P0105,whiteboard viral mindshare,Electronics,861.38,False,L,S,306,66,S041,True
P0106,empower value-added e-tailers,Fashion,2054.74,True,XL,S,467,85,S002,True
P0107,productize interactive portals,Home,310.14,False,L,S,31,71,S021,True
P0108,synergize e-business vortals,Home,202.3,False,M,S,47,55,S034,True
P0109,incubate wireless solutions,Grocery,103.88,False,XL,XL,326,20,S020,True
P0110,disintermediate 24/7 infrastructures,Fashion,666.2,False,M,S,251,58,S024,True
P0111,exploit synergistic architectures,Fashion,5203.97,True,L,M,198,94,S038,True
P0112,revolutionize end-to-end e-markets,Beauty,1048.86,False,XL,M,403,20,S001,True
P0113,innovate cross-platform methodologies,Grocery,393.99,True,M,L,88,94,S000,True
P0114,incentivize ubiquitous action-items,Home,1774.54,False,L,XL,108,93,S006,True
P0115,orchestrate bricks-and-clicks niches,Electronics,1316.59,False,L,L,290,33,S019,True
P0116,orchestrate transparent solutions,Electronics,111.43,False,XL,XL,107,97,S042,True
P0117,leverage front-end e-markets,Grocery,1457.01,False,M,L,407,90,S005,True
P0118,whiteboard one-to-one web-readiness,Grocery,384.94,False,L,XL,39,42,S035,True
P0119,deploy virtual mindshare,Grocery,228.71,False,XL,L,460,62,S020,True
P0120,innovate frictionless vortals,Grocery,304.29,False,S,S,51,41,S045,True
P0121,utilize ubiquitous platforms,Home,604.76,False,M,M,111,79,S034,True
P0122,iterate viral portals,Beauty,541.52,False,XL,M,294,46,S035,True
P0123,synthesize impactful bandwidth,Home,371.74,False,M,M,67,75,S007,True
P0124,revolutionize strategic applications,Home,250.2,True,XL,S,188,21,S049,True
P0125,deliver turn-key e-business,Grocery,1248.16,True,M,M,331,58,S003,True
P0126,mesh cross-platform info-mediaries,Fashion,3791.97,False,M,XL,208,70,S042,True
P0127,incentivize bleeding-edge eyeballs,Electronics,1302.31,True,L,S,64,38,S015,True
P0128,revolutionize enterprise e-tailers,Beauty,379.71,True,L,L,61,81,S002,True
P0129,mesh B2C action-items,Beauty,323.63,True,L,L,464,90,S006,True
P0130,exploit extensible e-business,Home,295.38,False,L,XL,257,95,S001,True
P0131,syndicate bleeding-edge bandwidth,Electronics,216.59,False,XL,XL,133,86,S000,False
P0132,visualize compelling functionalities,Fashion,740.18,False,M,L,491,82,S000,True
P0133,evolve B2C platforms,Grocery,842.91,True,L,M,121,24,S037,True
P0134,redefine viral solutions,Electronics,1076.99,False,M,S,330,91,S006,False
P0135,integrate world-class e-commerce,Fashion,1011.08,False,L,M,170,97,S023,True
P0136,integrate plug-and-play relationships,Fashion,375.63,False,M,L,209,80,S004,True
P0137,benchmark customized web services,Grocery,419.75,False,M,L,295,90,S020,True
P0138,revolutionize e-business info-mediaries,Electronics,1014.34,False,L,L,88,26,S027,True
P0139,engineer impactful architectures,Home,442.95,False,S,S,166,69,S017,True
P0140,utilize turn-key metrics,Fashion,290.24,True,S,M,27,65,S023,False
P0141,morph rich metrics,Home,474.15,True,L,S,237,91,S031,False
P0142,extend e-business niches,Beauty,353.06,True,L,S,335,95,S044,True
P0143,orchestrate open-source vortals,Fashion,172.97,False,XL,S,62,93,S032,True
P0144,harness dot-com experiences,Electronics,1517.22,True,L,S,447,33,S009,True
P0145,matrix innovative methodologies,Electronics,1633.46,False,S,L,254,92,S008,True
P0146,synergize bleeding-edge paradigms,Beauty,297.51,True,L,S,395,88,S048,True
P0147,orchestrate killer infrastructures,Electronics,152.57,False,S,S,40,84,S032,True
P0148,e-enable viral mindshare,Fashion,1173.06,False,L,XL,499,84,S032,True
P0149,embrace global portals,Beauty,289.13,False,XL,M,28,76,S006,False
P0150,target rich info-mediaries,Fashion,498.96,False,L,S,278,81,S003,False
P0151,engage strategic users,Electronics,152.03,True,L,S,468,39,S027,True
P0152,strategize back-end methodologies,Grocery,304.23,False,M,S,79,94,S022,True
P0153,embrace front-end schemas,Home,1358.65,True,L,S,50,45,S031,False
P0154,enhance viral schemas,Electronics,1404.33,False,XL,S,111,63,S043,True
P0155,e-enable back-end portals,Electronics,284.63,False,M,M,360,86,S015,True
P0156,incubate dynamic supply-chains,Home,426.47,True,M,S,300,89,S045,True
P0157,seize dot-com niches,Electronics,214.32,True,L,M,89,81,S009,False
P0158,leverage intuitive systems,Home,160.65,False,L,L,228,64,S013,True
P0159,integrate seamless bandwidth,Electronics,3979.01,False,M,M,149,30,S038,True
P0160,productize mission-critical supply-chains,Home,951.75,False,XL,XL,242,91,S035,True
P0161,target world-class synergies,Fashion,723.88,False,S,M,137,93,S033,False
P0162,scale viral methodologies,Home,1259.23,False,M,M,134,53,S023,True
P0163,revolutionize cutting-edge markets,Fashion,1565.45,True,L,L,456,65,S017,True
P0164,iterate dynamic experiences,Grocery,1413.87,False,M,S,88,51,S015,True
P0165,evolve efficient platforms,Electronics,112.34,True,L,S,493,94,S040,False
P0166,matrix front-end functionalities,Fashion,264.43,False,M,M,14,24,S036,True
P0167,enable turn-key paradigms,Grocery,950.15,False,S,M,332,82,S040,True
P0168,evolve virtual content,Beauty,475.98,True,M,L,361,48,S024,False
P0169,mesh frictionless bandwidth,Home,3334.65,False,XL,XL,173,67,S007,True
P0170,whiteboard bleeding-edge paradigms,Fashion,974.87,False,L,M,89,35,S023,True
P0171,synergize plug-and-play mindshare,Home,2607.9,False,L,M,212,44,S019,False
P0172,expedite transparent functionalities,Fashion,278.96,True,M,M,342,91,S047,True
P0173,deliver intuitive systems,Home,1694.83,True,L,XL,60,48,S029,True
P0174,strategize wireless channels,Home,409.12,False,L,L,363,71,S019,True
P0175,monetize efficient users,Fashion,3749.06,False,XL,XL,219,65,S017,True
P0176,empower turn-key interfaces,Home,236.28,False,L,S,60,44,S003,True
P0177,evolve plug-and-play e-services,Grocery,680.1,True,L,L,306,42,S047,True
P0178,matrix bleeding-edge web-readiness,Fashion,1358.43,False,S,S,165,53,S035,False
P0179,repurpose distributed users,Grocery,552.41,False,L,S,11,86,S005,True
P0180,generate e-business relationships,Electronics,604.02,False,L,XL,215,53,S002,True
P0181,innovate cutting-edge systems,Grocery,3534.55,False,XL,S,76,51,S017,True
P0182,incubate enterprise web-readiness,Electronics,542.14,False,M,XL,231,48,S046,True
P0183,architect transparent platforms,Electronics,840.22,False,M,S,111,28,S039,True
P0184,enable visionary infrastructures,Fashion,143.87,False,L,L,65,85,S017,True
P0185,syndicate enterprise paradigms,Beauty,1576.19,False,M,S,181,76,S022,True
P0186,utilize dynamic synergies,Home,934.68,False,M,M,422,58,S034,True
P0187,optimize next-generation infrastructures,Home,513.04,False,XL,S,203,26,S005,True
P0188,generate compelling partnerships,Fashion,112.04,False,L,M,422,88,S025,True
P0189,innovate holistic schemas,Electronics,815.54,True,XL,S,370,27,S020,True
P0190,whiteboard value-added markets,Grocery,109.19,True,XL,M,205,37,S023,True
P0191,scale killer niches,Beauty,99.96,True,M,S,285,68,S014,False
P0192,drive bleeding-edge e-services,Fashion,864.9,True,L,S,104,35,S026,True
P0193,disintermediate global interfaces,Fashion,266.61,False,S,S,241,40,S031,True
P0194,embrace viral technologies,Beauty,269.44,False,XL,M,234,29,S011,True
P0195,strategize leading-edge mindshare,Fashion,946.37,False,L,L,175,23,S004,True
P0196,productize innovative methodologies,Grocery,143.15,False,M,L,210,63,S006,True
P0197,brand frictionless mindshare,Beauty,399.81,True,M,S,30,27,S021,True
P0198,utilize integrated relationships,Home,228.48,True,L,M,234,74,S026,True
P0199,unleash killer platforms,Beauty,793.34,False,M,L,241,38,S014,True
P0200,enhance value-added e-business,Fashion,966.21,False,M,S,490,83,S038,True
P0201,morph bleeding-edge convergence,Home,1120.62,False,L,M,152,59,S044,True
P0202,matrix visionary convergence,Beauty,334.75,False,XL,M,195,70,S034,False
P0203,enhance compelling technologies,Fashion,173.79,False,M,S,497,28,S025,True
P0204,utilize scalable convergence,Grocery,164.56,False,L,S,434,49,S022,True
P0205,scale viral solutions,Fashion,543.31,False,XL,S,268,75,S012,True
P0206,embrace revolutionary e-markets,Grocery,2431.72,False,S,M,483,63,S025,False
P0207,integrate value-added eyeballs,Beauty,295.44,False,XL,S,446,78,S002,True
P0208,generate leading-edge content,Grocery,336.37,False,M,S,383,34,S028,True
P0209,aggregate ubiquitous methodologies,Electronics,184.08,False,L,S,169,87,S001,True
P0210,engineer open-source convergence,Fashion,843.25,True,L,S,437,89,S027,True
P0211,engage leading-edge eyeballs,Home,1010.23,False,L,S,356,80,S022,True
P0212,synergize out-of-the-box architectures,Grocery,922.86,False,XL,XL,322,99,S035,True
P0213,iterate real-time deliverables,Electronics,1678.38,False,M,S,335,42,S048,True
P0214,visualize back-end e-tailers,Fashion,632.09,False,M,M,473,96,S005,True
P0215,transform open-source supply-chains,Fashion,214.52,False,L,M,231,66,S010,True
P0216,deliver intuitive convergence,Grocery,372.32,False,XL,M,183,36,S037,True
P0217,architect virtual content,Grocery,967.79,False,M,M,358,76,S033,True
P0218,embrace rich e-markets,Grocery,858.72,True,XL,S,274,73,S016,True
P0219,synthesize open-source content,Beauty,704.73,False,M,L,429,71,S002,True
P0220,engage transparent niches,Grocery,1017.99,False,M,M,398,41,S043,True
P0221,revolutionize user-centric communities,Fashion,910.54,True,L,L,31,58,S045,True
P0222,expedite dot-com solutions,Electronics,1804.09,False,S,M,176,32,S033,False
P0223,architect visionary systems,Beauty,804.54,False,L,XL,404,97,S021,True
P0224,repurpose revolutionary functionalities,Home,1305.23,False,S,L,64,85,S028,True
P0225,syndicate B2B web-readiness,Grocery,327.77,False,M,XL,197,71,S028,True
P0226,synthesize holistic supply-chains,Beauty,1006.02,True,L,M,26,33,S004,False
P0227,revolutionize best-of-breed functionalities,Grocery,1958.82,False,L,M,150,92,S009,True
P0228,revolutionize magnetic schemas,Home,488.86,False,L,L,302,93,S009,True
P0229,embrace 24/365 synergies,Fashion,1307.05,False,L,L,478,82,S008,True
P0230,strategize interactive networks,Fashion,1131.17,False,M,XL,267,90,S020,True
P0231,embrace mission-critical supply-chains,Home,148.1,False,L,S,84,47,S012,False
P0232,engage e-business mindshare,Home,795.88,False,XL,L,499,65,S009,True
P0233,seize intuitive bandwidth,Fashion,210.58,False,XL,S,65,47,S037,False
P0234,reinvent best-of-breed solutions,Beauty,2835.77,False,M,M,132,21,S010,True
P0235,re-intermediate bleeding-edge infrastructures,Fashion,1433.53,False,S,S,392,36,S003,True
P0236,implement leading-edge supply-chains,Electronics,191.98,True,XL,S,403,78,S045,True
P0237,benchmark plug-and-play convergence,Home,202.86,False,L,XL,365,71,S030,True
P0238,embrace bricks-and-clicks communities,Fashion,821.06,False,L,S,81,23,S048,True
P0239,embrace sticky e-markets,Home,437.36,False,L,M,380,96,S033,True
P0240,enhance scalable solutions,Electronics,127.42,False,M,M,318,22,S041,False
P0241,e-enable e-business bandwidth,Beauty,723.08,False,L,S,469,56,S034,False
P0242,redefine leading-edge ROI,Electronics,491.62,False,XL,S,327,43,S038,True
P0243,re-contextualize front-end models,Grocery,184.25,False,L,M,97,91,S038,True
P0244,reinvent B2B platforms,Beauty,1394.27,False,M,S,72,54,S032,True
P0245,re-contextualize visionary solutions,Grocery,2071.81,True,M,L,326,21,S007,True
P0246,exploit leading-edge action-items,Electronics,1229.42,False,M,XL,29,52,S031,True
P0247,synergize customized users,Fashion,1481.68,False,L,S,124,95,S032,True
P0248,embrace customized e-markets,Electronics,294.18,True,M,S,209,96,S007,False
P0249,synthesize sticky web services,Fashion,343.76,True,S,M,474,29,S045,True
P0250,mesh bleeding-edge schemas,Grocery,286.09,False,XL,L,271,81,S013,True
P0251,mesh value-added solutions,Beauty,1257.75,False,M,S,212,62,S033,True
P0252,iterate cross-media synergies,Grocery,2462.93,False,S,S,132,88,S007,True
P0253,incubate extensible synergies,Beauty,1108.39,False,M,M,156,78,S041,True
P0254,utilize granular metrics,Fashion,1805.05,True,M,XL,46,28,S006,True
P0255,facilitate next-generation web services,Fashion,913.44,False,L,M,356,96,S012,False
P0256,extend out-of-the-box methodologies,Electronics,491.37,True,XL,M,362,79,S020,True
P0257,re-intermediate efficient e-markets,Grocery,542.77,True,XL,XL,381,82,S046,True
P0258,harness enterprise interfaces,Grocery,161.65,False,L,M,21,71,S031,True
P0259,mesh virtual infrastructures,Electronics,124.57,False,L,L,461,42,S010,True
P0260,engineer enterprise interfaces,Electronics,1050.2,True,L,M,440,49,S013,True
P0261,facilitate holistic users,Home,560.61,True,M,XL,82,62,S010,True
P0262,expedite front-end paradigms,Grocery,741.75,False,S,M,418,87,S001,True
P0263,transform open-source models,Grocery,751.54,False,XL,L,471,40,S033,True
P0264,grow strategic platforms,Fashion,358.89,True,M,M,233,62,S043,True
P0265,optimize proactive info-mediaries,Fashion,615.85,False,M,L,59,92,S046,True
P0266,optimize innovative functionalities,Home,608.05,True,L,S,453,26,S016,False
P0267,repurpose enterprise functionalities,Grocery,492.38,False,L,S,187,35,S013,True
P0268,transition interactive communities,Fashion,1473.85,False,S,L,57,42,S024,True
P0269,target scalable bandwidth,Grocery,578.96,False,M,S,258,77,S047,True
P0270,synergize transparent initiatives,Grocery,839.36,False,M,M,161,50,S026,False
P0271,morph interactive bandwidth,Fashion,1906.01,False,L,S,300,88,S007,True
P0272,deploy extensible e-services,Fashion,1708.33,False,M,L,305,25,S016,True
P0273,evolve world-class info-mediaries,Electronics,1867.9,True,L,S,1,84,S004,True
P0274,scale B2B paradigms,Electronics,350.77,True,L,L,270,78,S011,False
P0275,deliver seamless schemas,Grocery,127.49,False,XL,M,420,47,S037,True
P0276,optimize bleeding-edge schemas,Fashion,341.04,True,M,S,142,37,S017,True
P0277,target extensible deliverables,Grocery,360.37,False,M,M,187,96,S025,False
P0278,transition compelling info-mediaries,Home,2019.69,False,L,S,351,29,S030,True
P0279,monetize 24/7 partnerships,Electronics,937.13,False,L,S,340,26,S036,True
P0280,embrace killer paradigms,Beauty,167.19,False,M,M,447,56,S005,True
P0281,syndicate holistic niches,Grocery,215.37,False,L,S,464,64,S040,True
P0282,e-enable seamless portals,Grocery,234.38,False,S,XL,481,35,S014,True
P0283,brand extensible infrastructures,Grocery,895.31,True,S,S,223,33,S041,False
P0284,reinvent bleeding-edge experiences,Fashion,1162.67,False,L,M,497,30,S048,True
P0285,streamline intuitive experiences,Beauty,1669.86,True,M,M,366,53,S025,True
P0286,re-intermediate plug-and-play synergies,Beauty,2358.26,True,XL,M,179,79,S011,True
P0287,utilize bleeding-edge interfaces,Home,279.22,False,L,M,22,32,S040,False
P0288,redefine extensible markets,Fashion,395.59,True,L,M,354,58,S046,True
P0289,implement dynamic functionalities,Home,318.89,True,L,L,36,63,S013,True
P0290,disintermediate real-time models,Fashion,454.48,True,L,M,106,47,S000,True
P0291,deploy real-time e-tailers,Home,2067.94,False,S,S,296,59,S016,True
P0292,grow customized schemas,Grocery,783.74,False,XL,M,228,35,S032,True
P0293,monetize B2C convergence,Beauty,1171.11,True,XL,S,312,69,S028,True
P0294,brand sticky interfaces,Grocery,637.86,False,M,S,96,47,S044,True
P0295,strategize distributed e-tailers,Fashion,122.43,True,M,M,280,87,S030,True
P0296,generate B2B niches,Fashion,152.08,False,M,M,109,79,S007,True
P0297,whiteboard global web services,Electronics,716.62,False,L,M,36,31,S029,True
P0298,re-intermediate impactful systems,Electronics,1113.92,False,L,L,39,35,S012,True
P0299,morph holistic deliverables,Fashion,292.99,False,XL,S,84,72,S015,True
P0300,implement plug-and-play infrastructures,Grocery,1122.85,False,L,S,301,73,S001,True
P0301,transition impactful info-mediaries,Grocery,1430.39,True,L,S,187,68,S044,True
P0302,reinvent dot-com paradigms,Electronics,523.68,False,L,M,239,55,S017,True
P0303,redefine cross-media communities,Home,1196.66,True,L,M,357,81,S034,True
P0304,transition B2B e-markets,Grocery,513.05,False,L,S,487,45,S044,True
P0305,re-intermediate innovative metrics,Home,1006.43,False,L,L,353,75,S018,True
P0306,harness robust solutions,Grocery,1254.13,False,L,M,18,41,S012,True
P0307,repurpose revolutionary info-mediaries,Electronics,3954.35,True,L,M,346,92,S003,True
P0308,incubate strategic info-mediaries,Beauty,437.98,True,L,M,392,88,S018,True
P0309,brand back-end methodologies,Grocery,522.52,False,L,M,324,68,S049,True
P0310,drive e-business models,Electronics,243.85,False,L,M,260,21,S024,True
P0311,leverage B2C technologies,Electronics,281.6,False,L,S,472,72,S037,True
P0312,matrix integrated metrics,Electronics,1044.76,False,L,S,409,26,S030,False
P0313,incentivize holistic eyeballs,Fashion,2090.57,False,L,S,402,96,S035,True
P0314,architect bricks-and-clicks architectures,Fashion,500.5,False,L,M,157,39,S003,True
P0315,incentivize transparent action-items,Beauty,257.61,True,M,L,483,49,S038,True
P0316,deploy granular bandwidth,Electronics,367.49,True,S,M,303,94,S006,False
P0317,optimize front-end action-items,Grocery,584.65,False,L,S,111,86,S015,False
P0318,synthesize compelling functionalities,Beauty,373.73,True,L,L,143,78,S047,True
P0319,innovate revolutionary experiences,Fashion,311.82,True,XL,L,255,85,S004,True
P0320,whiteboard strategic vortals,Electronics,1164.4,True,M,L,454,22,S046,True
P0321,cultivate clicks-and-mortar technologies,Electronics,105.3,True,M,M,17,75,S022,True
P0322,exploit intuitive eyeballs,Fashion,718.89,False,M,L,183,98,S035,True
P0323,envisioneer front-end technologies,Electronics,1362.0,True,S,S,404,36,S031,True
P0324,re-intermediate dot-com initiatives,Fashion,346.65,False,L,S,286,71,S023,False
P0325,matrix seamless schemas,Grocery,838.64,False,M,S,384,26,S024,True
P0326,embrace compelling convergence,Beauty,983.27,False,L,L,130,24,S044,True
P0327,synergize world-class relationships,Fashion,950.43,True,L,S,478,73,S027,True
P0328,seize transparent vortals,Fashion,571.26,False,L,M,280,80,S018,True
P0329,revolutionize cross-media e-tailers,Grocery,439.43,True,XL,M,244,35,S006,True
P0330,architect bleeding-edge communities,Home,1544.94,False,L,S,7,86,S043,True
P0331,visualize clicks-and-mortar channels,Grocery,1235.53,True,M,L,192,78,S040,True
P0332,re-contextualize sticky paradigms,Beauty,409.01,False,XL,S,317,66,S016,True
P0333,redefine end-to-end relationships,Fashion,185.98,False,XL,M,390,67,S001,False
P0334,utilize integrated applications,Fashion,158.61,False,M,L,6,83,S015,True
P0335,facilitate wireless paradigms,Home,178.22,False,S,S,135,69,S038,True
P0336,engage e-business eyeballs,Electronics,798.48,False,S,M,18,60,S017,True
P0337,engineer bricks-and-clicks technologies,Home,141.44,False,M,L,400,91,S038,True
P0338,reinvent ubiquitous communities,Grocery,427.7,True,XL,XL,138,41,S000,True
P0339,re-contextualize enterprise e-business,Grocery,1218.34,False,L,L,366,73,S002,True
P0340,facilitate intuitive deliverables,Electronics,377.91,False,M,S,488,24,S020,True
P0341,innovate killer web-readiness,Grocery,1251.8,False,XL,M,176,36,S029,True
P0342,re-contextualize vertical supply-chains,Beauty,1193.66,False,L,S,10,97,S010,False
P0343,harness web-enabled interfaces,Electronics,324.71,False,M,S,485,60,S021,True
P0344,utilize proactive infrastructures,Fashion,1142.98,True,XL,S,40,54,S046,True
P0345,expedite magnetic portals,Home,1200.95,True,XL,S,445,59,S024,True
P0346,engineer proactive metrics,Beauty,504.27,True,XL,L,113,41,S002,True
P0347,drive granular methodologies,Fashion,288.0,True,L,S,179,67,S029,True
P0348,cultivate web-enabled convergence,Electronics,688.3,False,L,M,193,72,S023,True
P0349,innovate rich systems,Grocery,2133.68,False,M,M,195,29,S044,True
